Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_conductor;Coordenada_UTM_X_ED50;Coordenada_UTM_Y_ED50;Longitud;Latitud
2020S003259    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0225 0225;Dissabte;2020;7;Juliol;18;10;Matí;Canvi de carril sense precaució;430022.75 ;4582583.06;216.297.159.707.840;413.917.370.662.810
2020S001585    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0229 0229;Dilluns;2020;3;Març;2;18;Tarda;No respectar distàncies;430031.15 ;4582615.31;216.306.833.719.234;413.920.282.619.064
2020S004698    ;2;Eixample;5;el Fort Pienc;169409;Corts Catalanes;0753 0753;Divendres;2020;10;Octubre;9;8;Matí;Gir indegut o sense precaució;431843.45 ;4583785.44;218.461.229.632.287;414.027.228.953.315
2020S002903    ;2;Eixample;5;el Fort Pienc;169409;Corts Catalanes;0753 0753;Dijous;2020;7;Juliol;2;13;Matí;Desobeir semàfor;431843.45 ;4583785.44;218.461.229.632.287;414.027.228.953.315
2020S005242    ;2;Eixample;7;la Dreta de l'Eixample;89004;Consell de Cent;0387 0387;Dilluns;2020;11;Novembre;9;14;Tarda;Desobeir semàfor;430687.11 ;4583048.44;217.086.423.044.759;413.959.861.219.061
2020S003057    ;2;Eixample;7;la Dreta de l'Eixample;28305;Ausiàs Marc;0002 0002;Dijous;2020;7;Juliol;9;22;Nit;Desobeir semàfor;430987.16 ;4582551.3 ;217.450.978.766.155;413.915.343.450.145
2020S000390    ;2;Eixample;7;la Dreta de l'Eixample;100800;Diputació;0345 0345;Divendres;2020;1;Gener;17;14;Tarda;Desobeir semàfor;430973.7  ;4583138.91;217.428.182.656.421;413.968.256.070.813
2020S003696    ;2;Eixample;7;la Dreta de l'Eixample;169409;Corts Catalanes;0667 0667;Diumenge;2020;8;Agost;16;3;Nit;Manca d'atenció a la conducció;431076.53 ;4583033.4 ;217.552.380.441.245;413.958.841.322.290
2020S006069    ;2;Eixample;7;la Dreta de l'Eixample;169409;Corts Catalanes;9997 9997;Divendres;2020;12;Desembre;18;19;Tarda;Altres;430786.78 ;4582752.66;217.209.019.055.870;413.933.307.115.100
2020S003059    ;2;Eixample;7;la Dreta de l'Eixample;169409;Corts Catalanes;9997 9997;Divendres;2020;7;Juliol;10;2;Nit;Altres;430786.78 ;4582752.66;217.209.019.055.870;413.933.307.115.100
2020S003131    ;2;Eixample;7;la Dreta de l'Eixample;169409;Corts Catalanes;9997 9997;Dilluns;2020;7;Juliol;13;16;Tarda;Gir indegut o sense precaució;430786.78 ;4582752.66;217.209.019.055.870;413.933.307.115.100
2020S002027    ;2;Eixample;7;la Dreta de l'Eixample;71600;Casp;0001B0001B;Dilluns;2020;4;Abril;13;9;Matí;Altres;430639.26 ;4582486.43;217.035.626.271.964;413.909.201.545.929
2020S005293    ;2;Eixample;7;la Dreta de l'Eixample;247659;Pau Claris;0138 0138;Dimecres;2020;11;Novembre;11;15;Tarda;Gir indegut o sense precaució;430373.52 ;4583003.24;216.711.857.573.947;413.955.519.304.326
2020S003853    ;2;Eixample;7;la Dreta de l'Eixample;100800;Diputació;0274 0274;Divendres;2020;8;Agost;28;11;Matí;Manca d'atenció a la conducció;430590.23 ;4582764.01;216.973.804.834.567;413.934.159.980.346
2020S001474    ;2;Eixample;7;la Dreta de l'Eixample;247659;Pau Claris;0105 0105;Dijous;2020;2;Febrer;27;7;Matí;Manca d'atenció a la conducció;430590.23 ;4582764.01;216.973.804.834.567;413.934.159.980.346
2020S004589    ;2;Eixample;7;la Dreta de l'Eixample;247659;Pau Claris;0141 0141;Dissabte;2020;10;Octubre;3;21;Tarda;Altres;430341.75 ;4583004.82;216.673.839.548.279;413.955.634.096.507
2020S000661    ;2;Eixample;7;la Dreta de l'Eixample;145003;Girona;0071 0071;Dimarts;2020;1;Gener;28;19;Tarda;Desconegut;430806.61 ;4583103;217.228.733.748.110;413.964.878.172.475
2020S003387    ;2;Eixample;5;el Fort Pienc;144601;Diagonal;0247 0247;Divendres;2020;7;Juliol;24;19;Tarda;Desobeir semàfor;431572.72 ;4583884.01;218.136.260.453.323;414.035.876.876.641
2020S000301    ;2;Eixample;5;el Fort Pienc;178308;Lepant;0188B0188B;Dimecres;2020;1;Gener;15;8;Matí;Desobeir semàfor;431752.09 ;4583696.66;218.352.943.094.234;414.019.155.310.801
2020S004415    ;2;Eixample;7;la Dreta de l'Eixample;232902;Urquinaona;0008 0008;Dissabte;2020;9;Setembre;26;17;Tarda;No determinada;430893.56 ;4582453.62;217.340.145.721.147;413.906.465.350.310
2020S002825    ;2;Eixample;7;la Dreta de l'Eixample;349309;Universitat;0008 0008;Dilluns;2020;6;Juny;29;17;Tarda;No determinada;430387.36 ;4582209.74;216.737.531.735.779;413.884.063.353.551
2020S000764    ;2;Eixample;7;la Dreta de l'Eixample;71600;Casp;0028 0028;Divendres;2020;1;Gener;31;15;Tarda;No respectat pas de vianants;430798.03 ;4582553.37;217.224.751.771.659;413.915.367.381.093
2020S002612    ;2;Eixample;7;la Dreta de l'Eixample;74404;Catalunya;0009 0009;Dimecres;2020;6;Juny;17;15;Tarda;No respectar distàncies;430605.51 ;4582330.16;216.997.051.322.556;413.895.097.695.819
2020S000256    ;2;Eixample;7;la Dreta de l'Eixample;74404;Catalunya;0010 0010;Dilluns;2020;1;Gener;13;13;Matí;Manca d'atenció a la conducció;430644.48 ;4582349.33;217.043.439.268.277;413.896.857.888.405
