Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal;Descripcio_dia_setmana;Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_vianant;Numero_morts;Numero_lesionats_lleus;Numero_lesionats_greus;Numero_victimes;Numero_vehicles_implicats;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2022S007057    ;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;202050;Mas Guimbau / Verns                               ;0029 0029;Dijous;2022;11;Novembre;17;15;Tarda;No és causa del  vianant;0;1;0;1;2;424025,75;4586637,92;208.963.804.196.785;414.258.665.403.070
2022S004685    ;6;Gràcia;28;Vallcarca i els Penitents;148409;Vall d'Hebron / Ca l'Alegre                       ;0;Diumenge;2022;7;Juliol;31;20;Tarda;No és causa del  vianant;0;2;0;2;2;428121,82;4585676,23;213.876.751.734.954;414.175.822.753.703
2022S001939    ;6;Gràcia;28;Vallcarca i els Penitents;84306;Collserola                                        ;0018 0018;Diumenge;2022;4;Abril;3;11;Matí;No és causa del  vianant;0;1;0;1;2;427846,36;4585600,33;213.548.073.241.296;414.168.739.686.540
2022S001787    ;6;Gràcia;28;Vallcarca i els Penitents;701267;Alfonso Comín                                     ;6;Dilluns;2022;3;Març;28;17;Tarda;No és causa del  vianant;0;0;0;0;1;428045,09;4585465,58;213.787.453.037.122;414.156.781.677.311
2022S001998    ;6;Gràcia;28;Vallcarca i els Penitents;279600;República Argentina                               ;0250 0250;Dimarts;2022;4;Abril;5;19;Tarda;No és causa del  vianant;0;0;0;0;2;428179,94;4585156,47;213.952.467.640.146;414.129.062.171.726
2022S006746    ;6;Gràcia;28;Vallcarca i els Penitents;279600;República Argentina                               ;0130U0130U;Diumenge;2022;11;Novembre;6;13;Matí;No és causa del  vianant;0;1;0;1;1;428514,37;4584981,64;214.354.648.519.444;414.113.614.363.961
2022S007678    ;6;Gràcia;28;Vallcarca i els Penitents;701103;Alfonso Comín / Esteve Terradas                   ;0005 0005;Divendres;2022;12;Desembre;16;18;Tarda;No és causa del  vianant;0;1;0;1;1;428064,9;4585426,69;213.811.617.635.510;414.153.296.770.846
2022S003329    ;6;Gràcia;28;Vallcarca i els Penitents;158107;Vallcarca                                         ;0060 0060;Dimecres;2022;6;Juny;1;6;Matí;No és causa del  vianant;0;1;0;1;2;428836,1;4584836,3;214.741.269.763.742;414.100.809.922.915
2022S005246    ;6;Gràcia;28;Vallcarca i els Penitents;123408;República Argentina                               ;0025 0025;Divendres;2022;9;Setembre;2;13;Matí;No és causa del  vianant;1;0;0;1;2;428959,1;4584503,89;214.892.327.028.630;414.070.979.948.412
2022S004834    ;6;Gràcia;28;Vallcarca i els Penitents;701268;Vall d'Hebron / Vallcarca                         ;1010000;Dimarts;2022;8;Agost;9;12;Matí;No és causa del  vianant;0;1;0;1;2;428242,58;4585999,86;214.017.396.913.846;414.205.078.753.056
2022S006978    ;6;Gràcia;28;Vallcarca i els Penitents;701103;Alfonso Comín                                     ;0007 0007;Dimarts;2022;11;Novembre;15;12;Matí;No és causa del  vianant;0;1;0;1;2;428045,09;4585465,58;213.787.453.037.122;414.156.781.677.311
2022S001828    ;6;Gràcia;30;la Salut;176608;Larrard / Mare de Déu de la Salut                 ;0004B0006;Dimecres;2022;3;Març;30;14;Tarda;No és causa del  vianant;0;1;0;1;2;429544,94;4584911,95;215.588.413.053.764;414.108.248.448.604
2022S002702    ;6;Gràcia;28;Vallcarca i els Penitents;158107;Anna Piferrer / Vallcarca                         ;0205 0205;Divendres;2022;5;Maig;6;17;Tarda;No és causa del  vianant;0;1;0;1;2;428323,81;4585639,28;214.118.868.867.312;414.172.675.404.641
2022S004233    ;6;Gràcia;30;la Salut;344000;Escorial / Dalt                                   ;0098U0098U;Dilluns;2022;7;Juliol;11;19;Tarda;No és causa del  vianant;0;1;0;1;2;429688,64;4584955,16;215.759.828.963.168;414.112.266.159.936
2022S006269    ;6;Gràcia;30;la Salut;81501;Clavell                                           ;0002 0002;Dimarts;2022;10;Octubre;18;16;Tarda;No és causa del  vianant;0;1;0;1;2;429605,24;4584917;215.660.495.387.633;414.108.756.165.085
2022S003633    ;6;Gràcia;31;la Vila de Gràcia;201104;Martí / Rabassa                                   ;0068 0068;Dimarts;2022;6;Juny;14;12;Matí;No és causa del  vianant;0;1;0;1;2;429683,78;4584605,51;215.758.081.159.058;414.080.770.223.105
2022S000348    ;6;Gràcia;30;la Salut;229908;Dalt / Mare de Déu del Coll                       ;0002 0002;Divendres;2022;1;Gener;21;5;Nit;No és causa del  vianant;0;1;0;1;2;429114,2;4584586,68;215.076.902.610.748;414.078.573.567.741
2022S001328    ;6;Gràcia;29;el Coll;230000;Mare de Déu del Coll                              ;0077 0077;Dissabte;2022;3;Març;5;18;Tarda;No és causa del  vianant;0;1;0;1;1;428914,2;4585794,92;214.823.431.214.448;414.187.218.170.369
2022S002423    ;6;Gràcia;29;el Coll;230000;Mare de Déu del Coll / Castellterçol              ;0092 0096;Dilluns;2022;4;Abril;25;20;Tarda;No és causa del  vianant;0;1;0;1;2;428878,91;4585739,32;214.781.860.620.708;414.182.179.249.316
2022S005686    ;6;Gràcia;31;la Vila de Gràcia;208001;Torrent de l'Olla                                 ;0125 0125;Dimecres;2022;9;Setembre;21;18;Tarda;No és causa del  vianant;0;1;0;1;1;429560,62;4584041,85;215.617.308.116.752;414.029.895.509.003
2022S007844    ;6;Gràcia;31;la Vila de Gràcia;267000;Riera de Cassoles                                 ;0030 0030;Dijous;2022;12;Desembre;22;15;Tarda;Desobeir el senyal del semàfor;0;2;0;2;1;429054,97;4584111,68;215.011.617.649.393;414.035.739.829.515
2022S002691    ;6;Gràcia;31;la Vila de Gràcia;206403;Gran de Gràcia                                    ;0116 0116;Dijous;2022;5;Maig;5;12;Matí;No és causa del  vianant;0;1;0;1;2;429367,44;4583829,94;215.388.695.891.104;414.010.639.917.057
2022S007343    ;6;Gràcia;31;la Vila de Gràcia;208001;Torrent de l'Olla / Nil Fabra                     ;0199 0199;Dimecres;2022;11;Novembre;30;9;Matí;Desobeir el senyal del semàfor;0;1;0;1;1;429247,69;4584421,87;215.238.527.095.908;414.063.847.464.771
2022S004390    ;6;Gràcia;31;la Vila de Gràcia;206403;Gran de Gràcia                                    ;0199 0199;Dilluns;2022;7;Juliol;18;13;Matí;No és causa del  vianant;0;0;0;0;1;429200,95;4584183,39;215.185.404.662.525;414.042.327.281.683
2022S000937    ;6;Gràcia;31;la Vila de Gràcia;206403;Gran de Gràcia                                    ;0225 0225;Dimecres;2022;2;Febrer;16;18;Tarda;No és causa del  vianant;0;1;0;1;2;429132,52;4584263,06;215.102.611.799.112;414.049.442.512.486
2022S007498    ;6;Gràcia;31;la Vila de Gràcia;144601;Diagonal                                          ;0458 0458;Dimecres;2022;12;Desembre;7;0;Nit;No és causa del  vianant;0;1;0;1;1;429655,15;4583292,59;215.739.100.824.932;413.962.495.159.547
2022S004375    ;6;Gràcia;31;la Vila de Gràcia;28000;Augusta                                           ;0008 0008;Diumenge;2022;7;Juliol;17;22;Nit;No és causa del  vianant;0;1;0;1;2;429480,06;4583329,97;215.529.239.443.607;413.965.708.355.169
