Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_mediata;Coordenada_UTM_X;Coordenada_UTM_Y
2017S000312    ;6;Gràcia;28;Vallcarca i els Penitents;25103;AV REPÚB ARGENTINA                                ;0029 0029;Divendres;2017;1;Gener;13;10;Matí;No hi ha causa mediata;427602.81;4585833.60
2017S006291    ;6;Gràcia;28;Vallcarca i els Penitents;158107;Vallcarca / Josep Jover                           ;0174 0174;Dimarts;2017;7;Juliol;18;21;Tarda;No hi ha causa mediata;428466.64;4585365.01
2017S005002    ;6;Gràcia;30;la Salut;344000;Dalt                                              ;0050 0050;Dijous;2017;6;Juny;8;9;Matí;No hi ha causa mediata;429450.95;4584738.36
2017S010343    ;6;Gràcia;30;la Salut;344000;Dalt / Santuari St Josep Muntanya                 ;0063 0063;Dijous;2017;12;Desembre;14;22;Nit;No hi ha causa mediata;429477.77;4584795.47
2017S006846    ;6;Gràcia;30;la Salut;112004;Escorial                                          ;0186 0186;Dimarts;2017;8;Agost;8;17;Tarda;No hi ha causa mediata;429715.74;4584936.29
2017S005160    ;6;Gràcia;31;la Vila de Gràcia;90502;Còrsega / Bailèn                                  ;0427 0427;Dilluns;2017;6;Juny;12;14;Tarda;No hi ha causa mediata;430290.61;4583801.29
2017S002492    ;6;Gràcia;31;la Vila de Gràcia;216101;TORDERA / Progrés                                 ;0034 0034;Dimarts;2017;3;Març;28;21;Tarda;No hi ha causa mediata;430186.66;4583886.12
2017S000907    ;6;Gràcia;31;la Vila de Gràcia;51103;VIA AUGUSTA                                       ;0008 0008;Dijous;2017;2;Febrer;2;14;Tarda;No hi ha causa mediata;429822.33;4583484.01
2017S009176    ;6;Gràcia;31;la Vila de Gràcia;206403;Gràcia / Gran de Gràcia                           ;0072 0072;Dimarts;2017;11;Novembre;7;8;Matí;No hi ha causa mediata;429511.54;4583692.99
2017S009264    ;6;Gràcia;31;la Vila de Gràcia;28000;Augusta                                           ;0002B0002B;Dijous;2017;11;Novembre;9;12;Matí;No hi ha causa mediata;429503.37;4583283.29
2017S002122    ;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;109203;PI I MARGALL / Hipòlit Lázaro                     ;0124 0130;Dijous;2017;3;Març;16;17;Tarda;No hi ha causa mediata;430170.69;4584638.09
2017S003333    ;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;305100;Sant Joan / Còrsega                               ;0150 0150;Dimecres;2017;4;Abril;12;13;Matí;No hi ha causa mediata;430414.03;4583938.84
2017S008727    ;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;90502;Còrsega / Sant Joan                               ;0436 0436;Diumenge;2017;10;Octubre;22;5;Nit;Calçada en mal estat;430446.97;4583913.67
2017S004814    ;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;90502;Còrsega / Sardenya                                ;0512 0512;Dijous;2017;6;Juny;1;12;Matí;No hi ha causa mediata;430785.68;4584253.86
2017S004995    ;7;Horta-Guinardó;39;Sant Genís dels Agudells;295108;Jericó / Samaria                                  ;0001 0001;Dimecres;2017;6;Juny;7;22;Nit;No hi ha causa mediata;428107.48;4586206.19
2017S003330    ;7;Horta-Guinardó;40;Montbau;24100;Harmonia                                          ;0006 0006;Dimecres;2017;4;Abril;12;0;Nit;No hi ha causa mediata;428530.32;4587524.91
2017S005197    ;7;Horta-Guinardó;40;Montbau;701267;Arquitectura                                      ;1120000;Dimarts;2017;6;Juny;13;18;Tarda;No hi ha causa mediata;428610.53;4587028.48
2017S010413    ;7;Horta-Guinardó;39;Sant Genís dels Agudells;701267;Dalt (Llobregat)                                  ;1050000;Dissabte;2017;12;Desembre;16;18;Tarda;No hi ha causa mediata;428373.45;4586366.57
2017S000039    ;7;Horta-Guinardó;38;la Teixonera;289808;SANTA ROSALIA / Besòs                             ;0005 0005;Dilluns;2017;1;Gener;2;22;Nit;No hi ha causa mediata;428741.77;4586241.53
2017S001851    ;7;Horta-Guinardó;38;la Teixonera;72500;SANTA ROSALIA                                     ;0025 0025;Dilluns;2017;3;Març;6;17;Tarda;No hi ha causa mediata;428543.82;4586073.07
2017S008060    ;7;Horta-Guinardó;36;la Font d'en Fargues;136002;Font d'en Fargas                                  ;0039 0039;Divendres;2017;9;Setembre;29;12;Matí;No hi ha causa mediata;430362.69;4586397.29
2017S001207    ;7;Horta-Guinardó;36;la Font d'en Fargues;97104;PL CLOTA                                          ;0018 0018;Dilluns;2017;2;Febrer;13;20;Tarda;Alcoholèmia;430822.31;4586607.43
2017S004010    ;7;Horta-Guinardó;36;la Font d'en Fargues;194406;Maragall / Pintor Casas                           ;0323 0333;Dissabte;2017;5;Maig;6;12;Matí;No hi ha causa mediata;430647.38;4586722.83
2017S000950    ;7;Horta-Guinardó;41;la Vall d'Hebron;169103;PG VALL D'HEBRON                                  ;0022S0022S;Dissabte;2017;2;Febrer;4;9;Matí;No hi ha causa mediata;428907.59;4587267.58
2017S008848    ;7;Horta-Guinardó;41;la Vall d'Hebron;701267;Dalt (Besòs)                                      ;5,00E+00;Dimarts;2017;10;Octubre;24;20;Tarda;No hi ha causa mediata;428571.63;4586836.81
2017S004155    ;7;Horta-Guinardó;41;la Vall d'Hebron;701268;Dalt (Besòs)                                      ;1140000;Dimecres;2017;5;Maig;10;11;Matí;No hi ha causa mediata;428699.53;4587209.89
2017S005244    ;7;Horta-Guinardó;41;la Vall d'Hebron;352507;B-20 (Besòs)                                      ;0210 0210;Dijous;2017;6;Juny;15;16;Tarda;No hi ha causa mediata;428733.62;4587225.27
2017S007152    ;7;Horta-Guinardó;42;la Clota;160200;Estatut de Catalunya                              ;0002 0002;Dijous;2017;8;Agost;24;12;Matí;No hi ha causa mediata;429437.11;4587141.60
2017S001365    ;7;Horta-Guinardó;41;la Vall d'Hebron;700830;PG VALL D'HEBRON                                  ;0029 0029;Dissabte;2017;2;Febrer;18;14;Tarda;No hi ha causa mediata;428913.07;4587518.43
2017S008703    ;7;Horta-Guinardó;43;Horta;700651;Valldaura                                         ;0072X0072X;Dissabte;2017;10;Octubre;21;9;Matí;No hi ha causa mediata;429381.68;4587745.45
2017S004839    ;7;Horta-Guinardó;43;Horta;58102;Campoamor / Venècia                               ;0063 0063;Dijous;2017;6;Juny;1;21;Tarda;No hi ha causa mediata;429466.16;4587577.91
2017S009254    ;7;Horta-Guinardó;43;Horta;58102;Campoamor / Venècia                               ;0065 0065;Dijous;2017;11;Novembre;9;8;Matí;No hi ha causa mediata;429449.66;4587591.32
2017S007081    ;7;Horta-Guinardó;43;Horta;701080;Estatut                                           ;0001X0001X;Dissabte;2017;8;Agost;19;16;Tarda;No hi ha causa mediata;429562.71;4587046.77
2017S003645    ;7;Horta-Guinardó;43;Horta;701080;Estatut                                           ;0001X0001X;Dilluns;2017;4;Abril;24;8;Matí;No hi ha causa mediata;429562.71;4587046.77
2017S008663    ;7;Horta-Guinardó;43;Horta;352507;B-20 (Besòs)                                      ;0251 0251;Divendres;2017;10;Octubre;20;8;Matí;No hi ha causa mediata;429929.99;4588153.68
2017S006179    ;7;Horta-Guinardó;43;Horta;102703;Congrés / Doctor Letamendi                        ;0067B0067B;Dissabte;2017;7;Juliol;15;18;Tarda;No hi ha causa mediata;430029.44;4587802.12
2017S005684    ;7;Horta-Guinardó;43;Horta;701268;Dalt (Llobregat)                                  ;4,00E+00;Divendres;2017;6;Juny;30;7;Matí;No hi ha causa mediata;429136.59;4587872.79
