Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal;Descripcio_dia_setmana;Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_vianant;Numero_morts;Numero_lesionats_lleus;Numero_lesionats_greus;Numero_victimes;Numero_vehicles_implicats;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud_WGS84;Latitud_WGS84
2021S004714    ;2;Eixample;7;la Dreta de l'Eixample;176801;Roger de Llúria;0055 0055;Dijous;2021;8;Agost;26;13;Matí;No és causa del  vianant;0;1;0;1;1;430545,06;4582988,16;2.168.069.935;41.393.582.330
2021S005056    ;2;Eixample;7;la Dreta de l'Eixample;148307;Gràcia;0037 0037;Dilluns;2021;9;Setembre;13;9;Matí;No és causa del  vianant;0;1;0;1;2;430315,39;4582746,6;2.165.350.758;41.391.386.798
2021S004189    ;2;Eixample;7;la Dreta de l'Eixample;100800;Diputació;0333 0333;Diumenge;2021;7;Juliol;25;13;Matí;Creuar per fora pas de vianants;0;2;0;2;1;430889,05;4583074,24;2.172.174.431;41.394.387.277
2021S000492    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0225 0225;Diumenge;2021;1;Gener;31;22;Nit;No és causa del  vianant;0;1;0;1;2;430023,71;4582612,51;2.161.877.717;41.390.153.755
2021S000812    ;2;Eixample;7;la Dreta de l'Eixample;169409;Corts Catalanes;9997 9997;Dimarts;2021;2;Febrer;16;13;Matí;No és causa del  vianant;0;1;0;1;2;430795,1;4582761,18;2.171.086.513;41.391.559.558
2021S007613    ;2;Eixample;7;la Dreta de l'Eixample;191204;Mallorca;0272 0272;Dimarts;2021;12;Desembre;28;19;Tarda;No és causa del  vianant;0;2;0;2;2;430246,05;4583163,85;2.164.473.355;41.395.138.820
2021S006739    ;2;Eixample;7;la Dreta de l'Eixample;100800;Diputació;0269 0269;Dimarts;2021;11;Novembre;23;7;Matí;No és causa del  vianant;0;1;0;1;2;430489,75;4582684,65;2.167.443.249;41.390.843.930
2021S005117    ;2;Eixample;7;la Dreta de l'Eixample;247659;Pau Claris;0105 0105;Dimecres;2021;9;Setembre;15;19;Tarda;No és causa del  vianant;0;1;0;1;1;430600,21;4582739,61;2.168.758.059;41.391.348.482
2021S006253    ;2;Eixample;5;el Fort Pienc;225500;Nàpols;0125 0127;Dimecres;2021;11;Novembre;3;21;Tarda;No és causa del  vianant;0;0;0;0;2;431430,72;4583228,87;2.178.635.696;41.395.826.378
2021S003788    ;2;Eixample;7;la Dreta de l'Eixample;145003;Girona;0089 0089;Dijous;2021;7;Juliol;8;7;Matí;No és causa del  vianant;0;1;0;1;2;430709,55;4583202,42;2.170.012.803;41.395.526.300
2021S006124    ;2;Eixample;7;la Dreta de l'Eixample;145003;Girona;0001 0001;Divendres;2021;10;Octubre;29;10;Matí;No és causa del  vianant;0;1;0;1;2;431240,21;4582659,64;2.176.421.666;41.390.683.216
2021S004375    ;2;Eixample;7;la Dreta de l'Eixample;207803;Méndez Núñez;0019 0019;Dimecres;2021;8;Agost;4;10;Matí;No és causa del  vianant;0;2;0;2;2;431285,8;4582613,67;2.176.972.144;41.390.273.075
2021S005032    ;2;Eixample;7;la Dreta de l'Eixample;232902;Urquinaona;0007 0007;Diumenge;2021;9;Setembre;12;14;Tarda;No és causa del  vianant;0;1;0;1;2;431016,63;4582537,14;2.173.761.592;41.389.560.739
2021S007195    ;2;Eixample;5;el Fort Pienc;169409;Corts Catalanes;0751 0751;Dissabte;2021;12;Desembre;11;16;Tarda;No és causa del  vianant;0;1;0;1;2;431756,23;4583735,03;2.182.472.050;41.400.412.919
2021S005853    ;2;Eixample;7;la Dreta de l'Eixample;148307;Gràcia;0034S0034S;Dilluns;2021;10;Octubre;18;18;Tarda;No és causa del  vianant;0;0;0;0;1;430438,54;4582673,41;2.166.832.065;41.390.738.265
2021S002242    ;2;Eixample;7;la Dreta de l'Eixample;148307;Gràcia;0034S0034S;Divendres;2021;4;Abril;30;14;Tarda;Transitar a peu per la calçada;0;1;0;1;1;430438,54;4582673,41;2.166.832.065;41.390.738.265
2021S001993    ;2;Eixample;7;la Dreta de l'Eixample;74506;Catalunya;0088 0088;Dissabte;2021;4;Abril;17;16;Tarda;No és causa del  vianant;0;2;0;2;2;429956,8;4582932,78;2.161.040.420;41.393.032.494
2021S000729    ;2;Eixample;7;la Dreta de l'Eixample;74404;Catalunya;0009 0009;Divendres;2021;2;Febrer;12;14;Tarda;No és causa del  vianant;0;2;0;2;2;430605,51;4582330,16;2.168.868.382;41.387.661.149
2021S002163    ;2;Eixample;7;la Dreta de l'Eixample;74404;Catalunya;0010 0010;Dilluns;2021;4;Abril;26;11;Matí;No és causa del  vianant;0;1;0;1;2;430644,48;4582349,33;2.169.332.247;41.387.837.170
2021S000701    ;2;Eixample;5;el Fort Pienc;335100;Tetuan;0036 0037;Dimecres;2021;2;Febrer;10;17;Tarda;No és causa del  vianant;0;2;0;2;2;431246,5;4583153,05;2.176.440.850;41.395.127.752
2021S007009    ;2;Eixample;7;la Dreta de l'Eixample;74506;Catalunya;0090 0090;Dijous;2021;10;Octubre;21;12;Matí;No és causa del  vianant;0;0;0;0;1;429945,72;4582943,71;2.160.906.633;41.393.129.971
2021S004917    ;2;Eixample;7;la Dreta de l'Eixample;74506;Catalunya;0094 0094;Dimarts;2021;9;Setembre;7;16;Tarda;No és causa del  vianant;0;1;0;1;2;429927,76;4582961,44;2.160.689.770;41.393.288.094
2021S002239    ;2;Eixample;7;la Dreta de l'Eixample;74506;Catalunya;0100 0100;Divendres;2021;4;Abril;30;11;Matí;No és causa del  vianant;0;1;0;1;2;429898,84;4582989,97;2.160.340.568;41.393.542.533
2021S000665    ;2;Eixample;7;la Dreta de l'Eixample;145003;Girona;0023 0023;Dimarts;2021;2;Febrer;9;14;Tarda;No és causa del  vianant;0;2;0;2;1;431122,15;4582780,44;2.174.995.915;41.391.761.118
2021S003288    ;2;Eixample;5;el Fort Pienc;238400;Padilla;0187 0187;Dimecres;2021;6;Juny;16;20;Tarda;No és causa del  vianant;0;1;0;1;2;431716,26;4583900,38;2.181.975.272;41.401.898.782
2021S007667    ;2;Eixample;7;la Dreta de l'Eixample;349309;Universitat;0035 0035;Divendres;2021;12;Desembre;31;20;Tarda;No és causa del  vianant;0;1;0;1;2;430501,54;4582280,6;2.167.630.641;41.387.205.796
2021S001994    ;2;Eixample;7;la Dreta de l'Eixample;169409;Corts Catalanes;0674 0674;Dissabte;2021;4;Abril;17;15;Tarda;No és causa del  vianant;0;2;0;2;2;430884,28;4582809,76;2.172.147.579;41.392.004.777
